,mean rating,number of ratings,title
328,3.7941176470588234,51,Training Day (2001)
329,2.5,1,"American Astronaut, The (2001)"
330,2.0,2,Liam (2000)
331,2.5,2,Sidewalks of New York (2001)
332,3.5,1,"Endurance: Shackleton's Legendary Antarctic Expedition, The (2000)"
333,2.5,5,Don't Say a Word (2001)
334,2.9166666666666665,6,Hearts in Atlantis (2001)
335,3.509259259259259,54,Zoolander (2001)
336,2.0,1,Extreme Days (2001)
337,3.1,5,Joy Ride (2001)
338,2.5,3,Max Keeble's Big Move (2001)
339,3.14,25,Serendipity (2001)
340,3.0,1,"Swamp, The (Ciénaga, La) (2001)"
341,2.6666666666666665,6,Bandits (2001)
342,1.3333333333333333,3,Corky Romano (2001)
343,3.0,2,Fat Girl (À ma soeur!) (2001)
344,3.843137254901961,51,Mulholland Drive (2001)
345,3.3333333333333335,3,My First Mister (2001)
346,1.6666666666666667,3,Bones (2001)
347,3.65,20,From Hell (2001)
348,2.8125,8,"Last Castle, The (2001)"
349,3.1,5,Riding in Cars with Boys (2001)
350,3.5,1,Focus (2001)
351,3.6842105263157894,19,Waking Life (2001)
352,3.484848484848485,33,K-PAX (2001)
353,2.4583333333333335,12,Thirteen Ghosts (a.k.a. Thir13en Ghosts) (2001)
354,3.5,1,Better Than Sex (2000)
355,3.981651376146789,109,Donnie Darko (2001)
356,3.0,1,High Heels and Low Lifes (2001)
357,3.888888888888889,9,Life as a House (2001)
358,3.735294117647059,17,"Man Who Wasn't There, The (2001)"
359,4.0,1,"Town is Quiet, The (Ville est tranquille, La) (2000)"
360,2.0,1,Domestic Disturbance (2001)
361,3.871212121212121,132,"Monsters, Inc. (2001)"
362,2.75,14,"One, The (2001)"
363,3.875,4,Tape (2001)
364,3.4285714285714284,7,Heist (2001)
365,3.032258064516129,31,Shallow Hal (2001)
366,3.7616822429906542,107,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)
367,2.625,4,Novocaine (2001)
368,2.1875,8,Black Knight (2001)
369,3.0,5,Out Cold (2001)
370,3.4814814814814814,27,Spy Game (2001)
371,3.35,10,"Devil's Backbone, The (Espinazo del diablo, El) (2001)"
372,3.0,10,In the Bedroom (2001)
373,2.0,1,Everybody's Famous! (Iedereen beroemd!) (2000)
374,3.25,20,Behind Enemy Lines (2001)
375,3.25,2,"Affair of the Necklace, The (2001)"
376,2.5,1,Pornstar: The Legend of Ron Jeremy (2001)
377,2.0,1,Texas Rangers (2001)
378,3.8445378151260505,119,Ocean's Eleven (2001)
379,3.5,1,Baran (2001)
380,3.5,2,"Business of Strangers, The (2001)"
381,4.1923076923076925,13,No Man's Land (2001)
382,4.183333333333334,120,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)"
383,2.5714285714285716,14,Not Another Teen Movie (2001)
384,3.4204545454545454,44,Vanilla Sky (2001)
385,3.875,4,Iris (2001)
386,3.5,2,Kandahar (Safar e Ghandehar) (2001)
387,3.8333333333333335,6,Lantana (2001)
388,3.6838235294117645,68,"Royal Tenenbaums, The (2001)"
389,2.9444444444444446,9,How High (2001)
390,3.2,5,Jimmy Neutron: Boy Genius (2001)
391,3.3333333333333335,3,Joe Somebody (2001)
392,3.2058823529411766,17,Kate & Leopold (2001)
393,4.106060606060606,198,"Lord of the Rings: The Fellowship of the Ring, The (2001)"
394,3.5,10,"Majestic, The (2001)"
395,4.0,123,"Beautiful Mind, A (2001)"
396,3.0,8,Ali (2001)
397,3.81,50,Black Hawk Down (2001)
398,3.75,2,Charlotte Gray (2001)
399,3.7037037037037037,27,Gosford Park (2001)
400,3.764705882352941,17,I Am Sam (2001)
401,3.3055555555555554,18,Monster's Ball (2001)
402,3.0,6,"Shipping News, The (2001)"
403,2.6333333333333333,15,Orange County (2002)
404,3.8214285714285716,14,"Brotherhood of the Wolf (Pacte des loups, Le) (2001)"
405,2.0,1,What Time Is It There? (Ni neibian jidian) (2001)
406,3.0,3,Impostor (2002)
407,3.2222222222222223,9,Kung Pow: Enter the Fist (2002)
408,2.3333333333333335,6,Snow Dogs (2002)
409,3.0,2,Italian for Beginners (Italiensk for begyndere) (2000)
410,3.828125,32,The Count of Monte Cristo (2002)
411,3.076923076923077,13,"Mothman Prophecies, The (2002)"
412,3.5,14,"Walk to Remember, A (2002)"
413,4.0,1,Beijing Bicycle (Shiqi sui de dan che) (2001)
414,3.25,2,Escaflowne: The Movie (Escaflowne) (2000)
415,4.0,1,Maelström (2000)
416,3.9615384615384617,13,Metropolis (2001)
417,3.8333333333333335,3,"Son's Room, The (Stanza del figlio, La) (2001)"
418,3.1666666666666665,3,Storytelling (2001)
419,3.6666666666666665,3,Waydowntown (2000)
420,2.6,5,Slackers (2002)
421,2.8,5,Birthday Girl (2001)
422,3.5,2,Rare Birds (2001)
423,3.0,5,Big Fat Liar (2002)
424,2.7777777777777777,9,Collateral Damage (2002)
425,1.7857142857142858,7,Rollerball (2002)
426,4.5,1,"Scotland, Pa. (2001)"
427,2.0714285714285716,7,Crossroads (2002)
428,3.1,5,Hart's War (2002)
429,2.909090909090909,11,John Q (2002)
430,4.0,1,Return to Never Land (2002)
431,3.6041666666666665,24,Super Troopers (2001)
432,3.0,1,Last Orders (2001)
433,3.5,3,Dragonfly (2002)
434,2.3636363636363638,11,Queen of the Damned (2002)
435,3.25,2,How to Kill Your Neighbor's Dog (2000)
436,3.0,2,Mean Machine (2001)
437,3.8333333333333335,12,Monsoon Wedding (2001)
438,2.5,2,Wendigo (2001)
439,3.8333333333333335,3,Scratch (2001)
440,3.111111111111111,9,Vampire Hunter D: Bloodlust (Banpaia hantâ D) (2000)
441,3.0,18,40 Days and 40 Nights (2002)
442,3.3333333333333335,18,We Were Soldiers (2002)
443,2.5,2,All About the Benjamins (2002)
444,2.8636363636363638,22,"Time Machine, The (2002)"
445,3.6882352941176473,85,Ice Age (2002)
446,3.0833333333333335,30,Resident Evil (2002)
447,2.4,10,Showtime (2002)
448,3.0,1,Harrison's Flowers (2000)
449,3.375,4,Kissing Jessica Stein (2001)
450,4.25,2,Promises (2001)
451,3.9523809523809526,21,And Your Mother Too (Y tu mamá también) (2001)
452,3.2058823529411766,34,Blade II (2002)
453,2.375,4,Sorority Boys (2002)
454,2.75,2,Stolen Summer (2002)
455,2.0,2,George Washington (2000)
456,2.25,4,Clockstoppers (2002)
457,3.3181818181818183,11,Death to Smoochy (2002)
458,3.0,37,Panic Room (2002)
459,3.2916666666666665,12,"Rookie, The (2002)"
460,2.5,1,No Such Thing (2001)
461,4.0,1,"Piano Teacher, The (La pianiste) (2001)"
462,3.0,1,Time Out (L'emploi du temps) (2001)
463,3.25,2,High Crimes (2002)
464,2.909090909090909,22,National Lampoon's Van Wilder (2002)
465,2.5,1,Crush (2001)
466,4.0,1,Lucky Break (2001)
467,3.3333333333333335,9,Changing Lanes (2002)
468,3.8636363636363638,11,Frailty (2001)
469,2.9,10,"Sweetest Thing, The (2002)"
470,2.5,2,"Cat's Meow, The (2002)"
471,3.5,5,Human Nature (2001)
472,3.2666666666666666,60,My Big Fat Greek Wedding (2002)
473,2.857142857142857,7,Murder by Numbers (2002)
474,2.2954545454545454,22,The Scorpion King (2002)
475,3.142857142857143,7,Enigma (2001)
476,3.5,6,Nine Queens (Nueve reinas) (2000)
477,2.0,1,"Triumph of Love, The (2001)"
478,4.0,1,World Traveler (2001)
479,1.1875,8,Jason X (2002)
480,2.75,2,Life or Something Like It (2002)
481,3.7857142857142856,7,Dogtown and Z-Boyz (2001)
482,5.0,1,Rain (2001)
483,3.35,10,"Salton Sea, The (2002)"
484,2.5,2,Deuces Wild (2002)
485,4.0,1,Hollywood Ending (2002)
486,3.540983606557377,122,Spider-Man (2002)
487,2.5,9,"New Guy, The (2002)"
488,3.5,7,Unfaithful (2002)
489,4.0,1,"Lady and the Duke, The (Anglaise et le duc, L') (2001)"
490,3.715909090909091,44,About a Boy (2002)
491,3.157608695652174,92,Star Wars: Episode II - Attack of the Clones (2002)
492,4.25,6,"Believer, The (2001)"
493,3.85,10,"Importance of Being Earnest, The (2002)"
494,4.0,3,Enough (2002)
495,3.303030303030303,33,Insomnia (2002)
496,3.5,2,Spirit: Stallion of the Cimarron (2002)
497,3.0,1,CQ (2001)
498,4.0,3,Thirteen Conversations About One Thing (a.k.a. 13 Conversations) (2001)
499,2.9705882352941178,17,"Sum of All Fears, The (2002)"
500,1.8333333333333333,9,Undercover Brother (2002)
501,2.875,4,Bad Company (2002)
502,3.125,4,Divine Secrets of the Ya-Ya Sisterhood (2002)
503,5.0,1,Cherish (2002)
504,3.8333333333333335,3,"Fast Runner, The (Atanarjuat) (2001)"
505,3.8169642857142856,112,"Bourne Identity, The (2002)"
506,2.8529411764705883,17,Scooby-Doo (2002)
507,2.875,8,Windtalkers (2002)
508,3.5,6,"Dangerous Lives of Altar Boys, The (2002)"
509,4.0,1,"Emperor's New Clothes, The (2001)"
510,3.0,3,Gangster No. 1 (2000)
511,3.0,1,Harvard Man (2001)
512,4.25,2,Dark Blue World (Tmavomodrý svet) (2001)
513,1.5,2,Juwanna Mann (2002)
514,3.810344827586207,29,Lilo & Stitch (2002)
515,3.6375,120,Minority Report (2002)
516,3.642857142857143,7,Rabbit-Proof Fence (2002)
517,3.5,2,Sunshine State (2002)
518,2.0,1,Hey Arnold! The Movie (2002)
519,2.909090909090909,22,Mr. Deeds (2002)
520,3.2,5,Lovely & Amazing (2001)
521,3.0,5,Pumpkin (2002)
522,2.5,1,Like Mike (2002)
523,2.959016393442623,61,Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2) (2002)
524,3.6666666666666665,3,"Powerpuff Girls, The (2002)"
525,2.5,1,Me Without You (2001)
526,2.5,2,"Crocodile Hunter: Collision Course, The (2002)"
527,2.7222222222222223,18,Reign of Fire (2002)
528,3.520408163265306,49,Road to Perdition (2002)
529,3.0,1,All About Lily Chou-Chou (Riri Shushu no subete) (2001)
530,4.0,4,My Wife is an Actress (Ma Femme est une Actrice) (2001)
531,2.0,3,Halloween: Resurrection (Halloween 8) (2002)
532,3.875,4,Sex and Lucia (Lucía y el sexo) (2001)
533,2.75,8,Eight Legged Freaks (2002)
534,3.5,6,K-19: The Widowmaker (2002)
535,2.6,5,Stuart Little 2 (2002)
536,2.8461538461538463,65,Austin Powers in Goldmember (2002)
537,3.8333333333333335,3,"Kid Stays in the Picture, The (2002)"
538,3.3333333333333335,3,Tadpole (2002)
539,2.5,2,Who Is Cletis Tout? (2001)
540,1.8571428571428572,7,"Master of Disguise, The (2002)"
541,3.1666666666666665,63,Signs (2002)
542,4.0,1,"Last Kiss, The (Ultimo bacio, L') (2001)"
543,2.2142857142857144,7,Spy Kids 2: The Island of Lost Dreams (2002)
544,3.2083333333333335,12,"Good Girl, The (2002)"
545,3.3333333333333335,3,Blood Work (2002)
546,2.7708333333333335,24,xXx (2002)
547,3.5714285714285716,7,24 Hour Party People (2002)
548,3.25,2,Secret Ballot (Raye makhfi) (2001)
549,5.0,1,Martin Lawrence Live: Runteldat (2002)
550,3.5,1,Songs From the Second Floor (Sånger från andra våningen) (2000)
551,2.3333333333333335,3,"Adventures of Pluto Nash, The (2002)"
552,2.6875,8,Blue Crush (2002)
553,3.5,1,Mostly Martha (Bella Martha) (2001)
554,3.5,4,Possession (2002)
555,3.473684210526316,19,One Hour Photo (2002)
556,3.25,2,Serving Sara (2002)
557,2.142857142857143,7,Simone (S1m0ne) (2002)
558,2.75,2,Undisputed (2002)
559,4.0,1,Amy's O (a.k.a. Amy's Orgasm) (2001)
560,5.0,1,Satin Rouge (2002)
561,1.5,3,FearDotCom (a.k.a. Fear.com) (a.k.a. Fear Dot Com) (2002)
562,2.5,1,Snipes (2001)
563,2.8333333333333335,3,City by the Sea (2002)
564,2.0,2,Swimfan (2002)
565,2.7142857142857144,7,Barbershop (2002)
566,2.2857142857142856,7,Stealing Harvard (2002)
567,3.519230769230769,26,"Transporter, The (2002)"
568,2.0,1,Alias Betty (Betty Fisher et autres histoires) (2001)
569,3.6666666666666665,12,Igby Goes Down (2002)
570,5.0,1,"Son of the Bride (Hijo de la novia, El) (2001)"
571,3.8636363636363638,11,"Das Experiment (Experiment, The) (2001)"
572,2.5,2,Ballistic: Ecks vs. Sever (2002)
